年度,従事年数,区分,人数
2015/4/1,2年未満,申込数,10057
2015/4/1,2年未満,受講者数,8948
2015/4/1,2年未満,合格者数,4976
2015/4/1,2年以上6年未満,申込数,6787
2015/4/1,2年以上6年未満,受講者数,5878
2015/4/1,2年以上6年未満,合格者数,3295
2015/4/1,6年以上10年未満,申込数,5361
2015/4/1,6年以上10年未満,受講者数,4673
2015/4/1,6年以上10年未満,合格者数,2728
2015/4/1,10年以上14年未満,申込数,3869
2015/4/1,10年以上14年未満,受講者数,3401
2015/4/1,10年以上14年未満,合格者数,2067
2015/4/1,14年以上18年未満,申込数,2790
2015/4/1,14年以上18年未満,受講者数,2488
2015/4/1,14年以上18年未満,合格者数,1568
2015/4/1,18年以上22年未満,申込数,2815
2015/4/1,18年以上22年未満,受講者数,2561
2015/4/1,18年以上22年未満,合格者数,1464
2015/4/1,22年以上,申込数,5453
2015/4/1,22年以上,受講者数,4920
2015/4/1,22年以上,合格者数,2799
2015/4/1,無記入,申込数,8428
2015/4/1,無記入,受講者数,7413
2015/4/1,無記入,合格者数,4073
2016/4/1,2年未満,申込数,12258
2016/4/1,2年未満,受講者数,10883
2016/4/1,2年未満,合格者数,5804
2016/4/1,2年以上6年未満,申込数,7377
2016/4/1,2年以上6年未満,受講者数,6425
2016/4/1,2年以上6年未満,合格者数,3689
2016/4/1,6年以上10年未満,申込数,5198
2016/4/1,6年以上10年未満,受講者数,4515
2016/4/1,6年以上10年未満,合格者数,2703
2016/4/1,10年以上14年未満,申込数,3947
2016/4/1,10年以上14年未満,受講者数,3555
2016/4/1,10年以上14年未満,合格者数,2224
2016/4/1,14年以上18年未満,申込数,2745
2016/4/1,14年以上18年未満,受講者数,2468
2016/4/1,14年以上18年未満,合格者数,1592
2016/4/1,18年以上22年未満,申込数,2819
2016/4/1,18年以上22年未満,受講者数,2533
2016/4/1,18年以上22年未満,合格者数,1528
2016/4/1,22年以上,申込数,4894
2016/4/1,22年以上,受講者数,4447
2016/4/1,22年以上,合格者数,2714
2016/4/1,無記入,申込数,9538
2016/4/1,無記入,受講者数,8265
2016/4/1,無記入,合格者数,4600
2017/4/1,2年未満,申込数,13202
2017/4/1,2年未満,受講者数,11585
2017/4/1,2年未満,合格者数,6579
2017/4/1,2年以上6年未満,申込数,8496
2017/4/1,2年以上6年未満,受講者数,7284
2017/4/1,2年以上6年未満,合格者数,4354
2017/4/1,6年以上10年未満,申込数,5490
2017/4/1,6年以上10年未満,受講者数,4771
2017/4/1,6年以上10年未満,合格者数,3012
2017/4/1,10年以上14年未満,申込数,4650
2017/4/1,10年以上14年未満,受講者数,4085
2017/4/1,10年以上14年未満,合格者数,2527
2017/4/1,14年以上18年未満,申込数,2790
2017/4/1,14年以上18年未満,受講者数,2485
2017/4/1,14年以上18年未満,合格者数,1644
2017/4/1,18年以上22年未満,申込数,2987
2017/4/1,18年以上22年未満,受講者数,2682
2017/4/1,18年以上22年未満,合格者数,1752
2017/4/1,22年以上,申込数,5319
2017/4/1,22年以上,受講者数,4795
2017/4/1,22年以上,合格者数,3024
2017/4/1,無記入,申込数,10327
2017/4/1,無記入,受講者数,8911
2017/4/1,無記入,合格者数,5224
2018/4/1,2年未満,申込数,14689
2018/4/1,2年未満,受講者数,12859
2018/4/1,2年未満,合格者数,7466
2018/4/1,2年以上6年未満,申込数,10579
2018/4/1,2年以上6年未満,受講者数,8982
2018/4/1,2年以上6年未満,合格者数,5461
2018/4/1,6年以上10年未満,申込数,6442
2018/4/1,6年以上10年未満,受講者数,5597
2018/4/1,6年以上10年未満,合格者数,3588
2018/4/1,10年以上14年未満,申込数,5671
2018/4/1,10年以上14年未満,受講者数,4957
2018/4/1,10年以上14年未満,合格者数,3221
2018/4/1,14年以上18年未満,申込数,3280
2018/4/1,14年以上18年未満,受講者数,2941
2018/4/1,14年以上18年未満,合格者数,1991
2018/4/1,18年以上22年未満,申込数,3688
2018/4/1,18年以上22年未満,受講者数,3291
2018/4/1,18年以上22年未満,合格者数,2186
2018/4/1,22年以上,申込数,6443
2018/4/1,22年以上,受講者数,5838
2018/4/1,22年以上,合格者数,3753
2018/4/1,無記入,申込数,11997
2018/4/1,無記入,受講者数,10294
2018/4/1,無記入,合格者数,6027
2019/4/1,2年未満,申込数,17402
2019/4/1,2年未満,受講者数,15121
2019/4/1,2年未満,合格者数,9053
2019/4/1,2年以上6年未満,申込数,13462
2019/4/1,2年以上6年未満,受講者数,11544
2019/4/1,2年以上6年未満,合格者数,7095
2019/4/1,6年以上10年未満,申込数,7449
2019/4/1,6年以上10年未満,受講者数,6503
2019/4/1,6年以上10年未満,合格者数,4305
2019/4/1,10年以上14年未満,申込数,6246
2019/4/1,10年以上14年未満,受講者数,5431
2019/4/1,10年以上14年未満,合格者数,3570
2019/4/1,14年以上18年未満,申込数,3410
2019/4/1,14年以上18年未満,受講者数,3031
2019/4/1,14年以上18年未満,合格者数,2034
2019/4/1,18年以上22年未満,申込数,3726
2019/4/1,18年以上22年未満,受講者数,3287
2019/4/1,18年以上22年未満,合格者数,2187
2019/4/1,22年以上,申込数,6996
2019/4/1,22年以上,受講者数,6331
2019/4/1,22年以上,合格者数,4202
2019/4/1,無記入,申込数,12861
2019/4/1,無記入,受講者数,10999
2019/4/1,無記入,合格者数,6653
2020/4/1,2年未満,申込数,19407
2020/4/1,2年未満,受講者数,17188
2020/4/1,2年未満,合格者数,10465
2020/4/1,2年以上6年未満,申込数,17334
2020/4/1,2年以上6年未満,受講者数,15107
2020/4/1,2年以上6年未満,合格者数,9350
2020/4/1,6年以上10年未満,申込数,9669
2020/4/1,6年以上10年未満,受講者数,8628
2020/4/1,6年以上10年未満,合格者数,5736
2020/4/1,10年以上14年未満,申込数,8306
2020/4/1,10年以上14年未満,受講者数,7508
2020/4/1,10年以上14年未満,合格者数,5115
2020/4/1,14年以上18年未満,申込数,5284
2020/4/1,14年以上18年未満,受講者数,4825
2020/4/1,14年以上18年未満,合格者数,3362
2020/4/1,18年以上22年未満,申込数,5199
2020/4/1,18年以上22年未満,受講者数,4736
2020/4/1,18年以上22年未満,合格者数,3234
2020/4/1,22年以上,申込数,12430
2020/4/1,22年以上,受講者数,11547
2020/4/1,22年以上,合格者数,7797
2020/4/1,無記入,申込数,18691
2020/4/1,無記入,受講者数,16312
2020/4/1,無記入,合格者数,10436
2021/4/1,2年未満,申込数,25069
2021/4/1,2年未満,受講者数,21382
2021/4/1,2年未満,合格者数,12105
2021/4/1,2年以上6年未満,申込数,28077
2021/4/1,2年以上6年未満,受講者数,23469
2021/4/1,2年以上6年未満,合格者数,12617
2021/4/1,6年以上10年未満,申込数,17555
2021/4/1,6年以上10年未満,受講者数,15070
2021/4/1,6年以上10年未満,合格者数,8979
2021/4/1,10年以上14年未満,申込数,15791
2021/4/1,10年以上14年未満,受講者数,13758
2021/4/1,10年以上14年未満,合格者数,8183
2021/4/1,14年以上18年未満,申込数,11499
2021/4/1,14年以上18年未満,受講者数,9990
2021/4/1,14年以上18年未満,合格者数,6092
2021/4/1,18年以上22年未満,申込数,11311
2021/4/1,18年以上22年未満,受講者数,9978
2021/4/1,18年以上22年未満,合格者数,5840
2021/4/1,22年以上,申込数,29875
2021/4/1,22年以上,受講者数,26792
2021/4/1,22年以上,合格者数,15240
2021/4/1,無記入,申込数,35614
2021/4/1,無記入,受講者数,30208
2021/4/1,無記入,合格者数,17236
